City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Berlevag,NO,70.8578,29.0864,66.0,82,0,5.75,light rain
80,Gat,IL,31.61,34.7642,85.41,100,2,11.3,clear sky
81,Zacualtipan,MX,20.65,-98.6,75.31,45,40,4.72,scattered clouds
82,Zhezkazgan,KZ,47.8043,67.7144,86.94,21,48,11.97,scattered clouds
83,Yerbogachen,RU,61.2767,108.0108,58.35,77,100,4.05,overcast clouds
84,Geraldton,AU,-28.7667,114.6,63.28,60,65,15.61,broken clouds
85,Anjiang,CN,27.3194,110.1031,78.26,85,87,3.91,overcast clouds
86,Aswan,EG,24.0934,32.907,101.79,11,2,14.52,clear sky
87,Torbay,CA,47.6666,-52.7314,72.75,78,92,14.18,overcast clouds
88,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,54,16.73,light rain
89,Victoria,HK,22.2855,114.1577,87.33,74,0,1.01,clear sky
90,Beloha,MG,-25.1667,45.05,67.68,71,11,7.83,few clouds
91,Barinas,VE,8.6226,-70.2075,80.04,81,57,4.9,broken clouds
92,Iqaluit,CA,63.7506,-68.5145,38.7,100,94,8.01,overcast clouds
93,Elat,IL,29.5581,34.9482,97.02,21,2,15.32,clear sky
94,Capao Da Canoa,BR,-29.7456,-50.0097,71.17,72,99,6.89,overcast clouds
95,Butaritari,KI,3.0707,172.7902,79.86,76,80,4.23,broken clouds
96,Ponta Do Sol,PT,32.6667,-17.1,75.13,65,1,4.41,clear sky
97,New Norfolk,AU,-42.7826,147.0587,38.91,83,0,2.93,clear sky
98,Olafsvik,IS,64.8945,-23.7142,52.3,78,92,2.33,overcast clouds
99,Katsuura,JP,35.1333,140.3,77.77,94,100,13.22,overcast clouds
100,Muros,ES,42.7762,-9.0603,83.68,66,3,14.97,clear sky
101,Tasiilaq,GL,65.6145,-37.6368,41.16,72,91,3.15,overcast clouds
102,Port Hardy,CA,50.6996,-127.4199,56.75,82,5,3.58,clear sky
103,Anadyr,RU,64.75,177.4833,41.0,86,70,8.01,broken clouds
104,Qasigiannguit,GL,68.8193,-51.1922,62.85,69,100,8.86,overcast clouds
105,Saldanha,ZA,-33.0117,17.9442,54.91,71,38,10.31,scattered clouds
106,Griffith,US,41.5284,-87.4237,89.06,53,0,8.05,clear sky
107,Osvaldo Cruz,BR,-21.7967,-50.8786,86.04,26,72,11.14,broken clouds
108,Barrow,US,71.2906,-156.7887,42.82,81,0,23.02,clear sky
109,Chokurdakh,RU,70.6333,147.9167,36.91,56,95,8.25,overcast clouds
110,Kalmunai,LK,7.4167,81.8167,82.63,80,14,8.72,few clouds
111,Port Keats,AU,-14.25,129.55,68.61,32,9,7.49,clear sky
112,Shingu,JP,33.7333,135.9833,77.94,93,75,3.85,broken clouds
113,Luderitz,NA,-26.6481,15.1594,64.72,55,0,12.48,clear sky
114,Albufeira,PT,37.0882,-8.2503,84.02,63,88,9.35,overcast clouds
115,Avarua,CK,-21.2078,-159.775,71.65,73,100,12.66,overcast clouds
116,Poum,NC,-20.2333,164.0167,76.32,89,6,23.58,clear sky
117,Fengrun,CN,39.8333,118.1167,75.96,73,1,3.74,clear sky
118,Bathsheba,BB,13.2167,-59.5167,86.61,84,40,23.02,scattered clouds
119,Kaitangata,NZ,-46.2817,169.8464,43.05,89,100,4.59,overcast clouds
120,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,71,22,8.66,few clouds
121,Pitesti,RO,44.85,24.8667,89.67,20,1,9.15,clear sky
122,Tessalit,ML,20.1986,1.0114,98.83,22,44,3.78,light rain
123,Jertih,MY,5.7336,102.4897,77.99,85,100,0.51,overcast clouds
124,Matara,LK,5.9485,80.5353,78.67,86,90,15.3,light rain
125,Tobol,KZ,52.6844,62.5794,64.92,59,33,8.05,scattered clouds
126,Vestmanna,FO,62.1564,-7.1664,49.12,100,100,10.36,overcast clouds
127,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,65,40,12.66,scattered clouds
128,Hun,LY,29.1268,15.9477,92.8,21,0,13.89,clear sky
129,Talnakh,RU,69.4865,88.3972,56.21,81,21,7.83,light rain
130,Kapaa,US,22.0752,-159.319,80.19,82,100,21.85,light rain
131,Dikson,RU,73.5069,80.5464,42.48,89,100,24.74,light rain
132,Bengkulu,ID,-3.8004,102.2655,76.3,91,76,4.56,broken clouds
133,Sitka,US,57.0531,-135.33,55.29,88,100,6.91,overcast clouds
134,Bodhan,IN,18.6667,77.9,77.04,83,100,4.41,moderate rain
135,Celestun,MX,20.8667,-90.4,87.15,59,1,2.35,clear sky
136,Osakarovka,KZ,50.565,72.5692,67.15,49,76,5.68,broken clouds
137,Abu Dhabi,AE,24.4667,54.3667,100.51,66,0,8.05,clear sky
138,Bayir,TR,37.2687,28.2167,91.92,12,0,14.38,clear sky
139,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,13.8,scattered clouds
140,Terrace,CA,54.5163,-128.6035,60.8,74,99,1.16,overcast clouds
141,Benjamin Aceval,PY,-24.9667,-57.5667,86.14,28,94,8.25,overcast clouds
142,Nome,US,64.5011,-165.4064,46.47,93,75,4.61,broken clouds
143,Recke,DE,52.3833,7.7167,72.34,79,97,11.65,overcast clouds
